uniprotID_S288c	GeneName_S288C	Standard _A	Standard _B	Standard _C	High_temperature_A	High_temperature_B	High_temperature_C	Low_pH_A	Low_pH_B	Low_pH_C	Osmotic_stress _A	Osmotic_stress _B	Osmotic_stress _C
Q12460	YLR197W	5.03132E-06	3.89822E-06	5.0736E-06	3.73891E-06	2.92103E-06	3.19903E-06	3.90704E-06	3.55064E-06	4.15206E-06	5.93729E-06	6.99542E-06	4.9203E-06
Q12499	YOR310C	2.06749E-06	1.93642E-06	1.76308E-06	2.12328E-06	1.80902E-06	2.15149E-06	0.000001782	1.76418E-06	1.72854E-06	2.70411E-06	3.12148E-06	2.87459E-06
P29311	YER177W	1.98293E-05	1.94065E-05	1.31914E-05	1.74053E-05	1.73247E-05	1.78485E-05	1.67954E-05	1.92456E-05	2.01812E-05	2.33376E-05	2.12214E-05	1.96342E-05
P34730	YDR099W	1.92797E-05	1.80536E-05	1.3445E-05	1.61966E-05	0.000016116	1.64786E-05	1.56371E-05	2.03148E-05	0.000020493	2.16917E-05	2.16917E-05	1.91051E-05
P00815	YCL030C	3.4881E-06	4.08848E-06	3.55998E-06	2.65108E-06	3.35213E-06	3.11039E-06	3.24324E-06	2.83338E-06	3.90704E-06	4.10907E-06	4.94382E-06	4.71456E-06
Q00055	YDL022W	3.42891E-06	3.87285E-06	3.95741E-06	4.4319E-06	4.27074E-06	5.07654E-06	4.09415E-06	3.84467E-06	4.5441E-06	3.72109E-05	4.17374E-05	4.3736E-05
P41911	YOL059W	1.12042E-06	1.46289E-06	1.80536E-06	1.72844E-06	2.5141E-06	1.62369E-06	5.65785E-07	1.75527E-06	8.5536E-07	2.12214E-06	3.1979E-06	1.86936E-06
P15019	YLR354C	8.20232E-06	9.21704E-06	7.27216E-06	8.29974E-06	7.6551E-06	1.02337E-05	9.93465E-06	0.00000891	8.68725E-06	1.73416E-05	1.21685E-05	1.26976E-05
P53228	YGR043C	1.39101E-06	2.92155E-06	2.73974E-06	3.66639E-06	3.81546E-06	4.51248E-06	2.73092E-06	3.71993E-06	4.07187E-06	7.87719E-06	7.0542E-06	4.98497E-06
P41939	YLR174W	4.8622E-06	0.000005285	5.32728E-06	5.03625E-06	5.60031E-06	6.64785E-06	6.9498E-06	6.1479E-06	5.2569E-06	5.74329E-06	6.93663E-06	7.0542E-06
P21954	YDL066W	2.99342E-06	5.32728E-06	3.20905E-06	3.30781E-06	3.15874E-06	3.751E-06	4.67775E-06	4.5441E-06	3.37244E-06	4.25603E-06	6.99542E-06	5.14369E-06
P53982	YNL009W	9.80896E-07	1.56859E-06	1.16693E-06	1.41015E-06	6.80901E-07	4.39161E-07	1.1093E-06	1.22067E-06	5.5242E-07	4.99673E-07	9.64074E-07	8.11233E-07
P38972	YGR061C	1.80958E-06	1.7673E-06	1.67006E-06	1.51893E-06	1.44641E-06	1.47864E-06	1.65726E-06	1.54143E-06	1.99584E-06	2.32201E-06	3.0627E-06	2.48073E-06
P46655	YGL245W	4.60852E-06	4.69308E-06	3.64454E-06	0.000004029	4.01691E-06	3.72683E-06	5.12325E-06	3.73775E-06	4.9005E-06	7.23056E-06	8.11233E-06	4.97909E-06
P22768	YOL058W	1.59818E-05	1.25572E-05	1.42484E-05	1.00322E-05	1.17244E-05	9.02496E-06	1.03802E-05	1.18503E-05	0.000010692	4.76746E-06	7.70084E-06	8.17112E-06
P07244	YGL234W	4.90448E-06	0.000004228	3.67413E-06	3.3481E-06	3.79532E-06	3.25946E-06	3.22542E-06	3.70211E-06	4.39263E-06	4.89679E-06	5.81384E-06	4.50293E-06
Q12122	YDL131W	6.93392E-06	6.84936E-06	7.44128E-06	5.19741E-06	7.45365E-06	5.68089E-06	7.26165E-06	6.5934E-06	6.81615E-06	1.258E-05	1.15806E-05	1.01698E-05
